Campaign,Asset Group,Asset Type,Asset Text,Final URL,Business Name,Call to Action
Performance Max - Wedding,Wedding Transportation - Chicago,Business Name,"Chicago Wedding Transportation",https://chicagoweddingtransportation.com,"Chicago Wedding Transportation",
Performance Max - Wedding,Wedding Transportation - Chicago,Call to Action,"Get Quote",https://chicagoweddingtransportation.com,,"Get Quote"
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Chicago Party Bus",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Party Bus Rentals",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Bachelorette Party Bus",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Bachelor Party Transport",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Birthday Party Bus",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Prom Limo & Bus",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Concert Transportation",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Sports Event Shuttle",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Night Out Party Bus",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Club Hopping Bus",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Chicago Party Limo",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Group Event Transport",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Celebration Bus Rental",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"VIP Party Experience",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Headline,"Chicago Nightlife Bus",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Long Headline,"Chicago Party Bus Rentals - Bachelorette, Birthday & More",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Long Headline,"Premium Party Bus Service with Sound System & LED Lights",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Long Headline,"Luxury Party Bus for Bachelor/Bachelorette Parties in Chicago",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Long Headline,"Chicago Party Bus - Concerts, Sporting Events, Night Out",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Long Headline,"VIP Party Bus Experience - Professional Driver, Full Bar Setup",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Description,"Chicago party bus rentals for any celebration. Bachelorette, birthday, prom, concerts. Premium sound, LED lights, bar area.",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Description,"Luxury party bus service in Chicago. Bachelor parties, sporting events, club hopping. Professional drivers, VIP experience.",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Description,"Premium party bus rentals. Groups up to 40 guests. Sound system, dance floor, complimentary bar setup. Book your party!",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Description,"Chicago party bus for unforgettable nights. Bachelorette, birthday, graduation. Safe, fun, professional service.",https://chicago-partybus.com,,
Performance Max - Party Bus,Party Bus Rentals - Chicago,Business Name,"Chicago Party Bus",https://chicago-partybus.com,"Chicago Party Bus",
Performance Max - Party Bus,Party Bus Rentals - Chicago,Call to Action,"Book Now",https://chicago-partybus.com,,"Book Now"
